SiteCode,SiteName,UnitCode,SubUnitCode,EventDate,SiteType,Project,QCtype,SampleDepth_m,Parameter,Value,ValueFlag,FlagComments
ACBUBL,Bubble Pond,ACAD,NA,9/28/2011,Lake,NETN_LS,0,0.5035,DO_mgL,9.18,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,9/28/2011,Lake,NETN_LS,0,0.5035,DOsat_pct,97.4,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,9/28/2011,Lake,NETN_LS,0,0.5035,SpCond_uScm,31.5,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,9/28/2011,Lake,NETN_LS,0,0.5035,Temp_C,18.225,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,9/28/2011,Lake,NETN_LS,0,0.5035,Temp_F,64.805,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,9/28/2011,Lake,NETN_LS,0,0.5035,pH,6.61,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,10/19/2011,Lake,NETN+ACID,0,0.5035,DO_mgL,9.855,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,10/19/2011,Lake,NETN+ACID,0,0.5035,DOsat_pct,94.85,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,10/19/2011,Lake,NETN+ACID,0,0.5035,SpCond_uScm,31,NA,NA
ACBUBL,Bubble Pond,ACAD,NA,10/19/2011,Lake,NETN+ACID,0,0.5035,Temp_C,13.62,NA,NA
